SERVICE,LANGUAGE,DISASTER,PROMPT,ROUGE-1,ROUGE-2,ROUGE-L,BLEU,BERTScore_P,BERTScore_R,BERTScore_F1,COMET,SERVICE_FROM_FILENAME
gemini,spanish,flood,prompt_simple.txt,0.6126377648839897,0.4248462880109988,0.3968820120769584,0.5192981796122351,0.6778748631477356,0.691342830657959,0.6845426559448242,0.0,gemini
gemini,spanish,flood,prompt_persona.txt,0.688581234457574,0.5053790381942223,0.436370776264248,8.98086125684577,0.7315751314163208,0.7083984613418579,0.7198002934455872,0.0,gemini
gemini,spanish,flood,prompt_one_shot.txt,0.6755954155612406,0.5047366787148105,0.4455283361970653,8.664155452962117,0.7530071139335632,0.735846996307373,0.7443281412124634,0.0,gemini
gemini,spanish,flood,prompt_cross_lingual_alignment.txt,0.6437808583737046,0.4797388172681401,0.4414013532171676,8.143677787792827,0.7435123324394226,0.7154011130332947,0.7291858792304993,0.0,gemini
gemini,spanish,flood,prompt_chain_of_translation.txt,0.5436027755648009,0.4378952455097189,0.4011881864210345,5.976356488933814,0.757972240447998,0.6925481557846069,0.7237847447395325,0.0,gemini
gemini,spanish,flood,translate_flood.txt,0.9381715642686044,0.875489371961017,0.8934513254064438,70.49612882808017,0.9516619443893432,0.9557958245277404,0.9537243843078612,0.0,gemini
gemini,spanish,extreme_wind,prompt_simple.txt,0.5195081930891526,0.3990026524800981,0.3694270554845793,1.9039879906996144,0.6938637495040894,0.6911479234695435,0.6925031542778015,0.0,gemini
gemini,spanish,extreme_wind,prompt_persona.txt,0.6283540139133847,0.4854794606420971,0.4137686339963921,5.706347193073529,0.7272850871086121,0.705059826374054,0.7160000205039978,0.0,gemini
gemini,spanish,extreme_wind,prompt_one_shot.txt,0.559139171433065,0.4463190607822326,0.4164785811444134,6.266523218702188,0.7493144273757935,0.6946244835853577,0.720933735370636,0.0,gemini
gemini,spanish,extreme_wind,prompt_cross_lingual_alignment.txt,0.5314421377584347,0.4260526163513777,0.3791419155500971,3.720037939819188,0.7322169542312622,0.6878712773323059,0.709351658821106,0.0,gemini
gemini,spanish,extreme_wind,prompt_chain_of_translation.txt,0.5134257299066367,0.4176387800393813,0.3630320620666686,3.758618274507121,0.7303768992424011,0.689437985420227,0.7093172669410706,0.0,gemini
gemini,spanish,extreme_wind,translate_extreme_wind.txt,0.9331615817969904,0.8485992107346895,0.8073626037480995,52.92475062466217,0.9292596578598022,0.930191457271576,0.9297254085540771,0.0,gemini
gemini,spanish,fire,prompt_simple.txt,0.2080929059747895,0.1302160998119342,0.1633740310335602,0.0196114838276405,0.6656361818313599,0.5545755624771118,0.6050516366958618,0.0,gemini
gemini,spanish,fire,prompt_persona.txt,0.4539927981446481,0.3705316497313266,0.3334554828146183,3.621369642903183,0.7481401562690735,0.6877580285072327,0.7166795134544373,0.0,gemini
gemini,spanish,fire,prompt_one_shot.txt,0.4420928856639554,0.3613674693363345,0.3334069511940116,3.327903617801933,0.7453689575195312,0.6916877031326294,0.7175256609916687,0.0,gemini
gemini,spanish,fire,prompt_cross_lingual_alignment.txt,0.3877831449720594,0.3177406719851367,0.3128390727820951,2.559082449702361,0.7804279327392578,0.6888344883918762,0.7317762970924377,0.0,gemini
gemini,spanish,fire,prompt_chain_of_translation.txt,0.3635925331009532,0.303949898640967,0.3018077673316465,2.085111674622664,0.7698054313659668,0.6625180244445801,0.7121435403823853,0.0,gemini
gemini,spanish,fire,translate_fire.txt,0.9535429970092132,0.8697416862134072,0.8346789215334681,53.32059722064788,0.92039155960083,0.9218162894248962,0.9211033582687378,0.0,gemini
gemini,spanish,boil_water_notice,prompt_simple.txt,0.4645962389325341,0.3594889569745584,0.3422506480709444,1.7426464802575443,0.7656699419021606,0.6963037252426147,0.7293412089347839,0.0,gemini
gemini,spanish,boil_water_notice,prompt_persona.txt,0.4319175641854678,0.36642848166716,0.329104332985805,2.202854889763497,0.7727335691452026,0.6982761025428772,0.7336204051971436,0.0,gemini
gemini,spanish,boil_water_notice,prompt_one_shot.txt,0.422999111617803,0.3659267628434856,0.3325309993295818,2.8299481931226285,0.8250536918640137,0.6943274736404419,0.7540667653083801,0.0,gemini
gemini,spanish,boil_water_notice,prompt_cross_lingual_alignment.txt,0.3984766289774913,0.3355683326222338,0.3121548677763661,1.953263879912488,0.8050599694252014,0.7106242775917053,0.7549001574516296,0.0,gemini
gemini,spanish,boil_water_notice,prompt_chain_of_translation.txt,0.429197112250296,0.3675681865030314,0.326676358540703,2.380451687535747,0.8254960179328918,0.7123126983642578,0.7647392749786377,0.0,gemini
gemini,spanish,boil_water_notice,translate_boil_water_notice.txt,0.9168569279507114,0.828705355243458,0.7201201191907529,40.30807443924176,0.8575118780136108,0.8697608709335327,0.8635929822921753,0.0,gemini
