SERVICE,LANGUAGE,DISASTER,PROMPT,ROUGE-1,ROUGE-2,ROUGE-L,BLEU,BERTScore_P,BERTScore_R,BERTScore_F1,COMET
chatgpt,spanish,flood,prompt_simple.txt,0.7967414171371964,0.5404522234969027,0.4797835008624279,4.975777178531371,0.7000369429588318,0.7297285795211792,0.7145744562149048,0
chatgpt,spanish,flood,translate_flood.txt,0.9504591888698849,0.8978021123542715,0.9161895504422933,74.85798578179272,0.9541397094726562,0.9656124711036682,0.9598418474197388,0
chatgpt,spanish,extreme_wind,prompt_simple.txt,0.7273858458172489,0.5290972723549949,0.4513871187646318,1.144514979932697,0.6918903589248657,0.6756036281585693,0.683650016784668,0
chatgpt,spanish,extreme_wind,translate_extreme_wind.txt,0.9336187052414455,0.8558788523730515,0.8244722764521702,59.78576576589649,0.9331167340278625,0.9329211711883545,0.9330189824104309,0
chatgpt,spanish,fire,prompt_simple.txt,0.5706287380313727,0.4568395107987223,0.3896166300369552,2.0610361003874833,0.7475820183753967,0.7013320922851562,0.7237189412117004,0
chatgpt,spanish,fire,translate_fire.txt,0.9667913960708807,0.8872858400927262,0.8545556258314203,60.46879080170293,0.9244657754898071,0.9279488325119019,0.9262040257453918,0
chatgpt,spanish,boil_water_notice,prompt_simple.txt,0.6358028513250925,0.514899774113933,0.43731493610391103,3.6547938970532288,0.7276642322540283,0.7059986591339111,0.7166677713394165,0
chatgpt,spanish,boil_water_notice,translate_boil_water_notice.txt,0.9132835259882655,0.8241797514990632,0.7148394774583098,39.82300491741212,0.8539755344390869,0.8679810762405396,0.860921323299408,0
chatgpt,spanish,911_outage,prompt_simple.txt,0.7452168026627299,0.5174224124067581,0.44315548136996474,4.9390440020221025,0.7412267327308655,0.6516622304916382,0.6935648918151855,0
chatgpt,spanish,911_outage,translate_911_outage.txt,0.9118801525087339,0.8535361837467175,0.7917333557492663,52.37033867933088,0.9252197742462158,0.9316964149475098,0.9284468293190002,0
chatgpt,haitian_creole,flood,prompt_simple.txt,0.7238811046568483,0.5062885692253991,0.4533777259579275,1.9372622055215607,0.7299576997756958,0.7034715414047241,0.7164698839187622,0
chatgpt,haitian_creole,flood,translate_flood.txt,0.9296040055187774,0.8762047205870415,0.870295325709926,62.94844492905168,0.9161632657051086,0.8874129056930542,0.9015588760375977,0
chatgpt,haitian_creole,extreme_wind,prompt_simple.txt,0.7015053553240345,0.5314176197674927,0.4590736487574222,5.401417010569504,0.708722710609436,0.7033243179321289,0.7060132026672363,0
chatgpt,haitian_creole,extreme_wind,translate_extreme_wind.txt,0.8632094992129249,0.7289682080566158,0.6690402461580086,35.75508646202707,0.8598192930221558,0.8622540235519409,0.8610349297523499,0
chatgpt,haitian_creole,fire,prompt_simple.txt,0.40771526738453057,0.3231510732123005,0.3116296127180981,0.4615482655483311,0.7297258377075195,0.6551283597946167,0.6904179453849792,0
chatgpt,haitian_creole,fire,translate_fire.txt,0.9540584419620487,0.904697353791055,0.8641764552646886,68.17206190239504,0.91480553150177,0.9185670614242554,0.9166824221611023,0
chatgpt,haitian_creole,boil_water_notice,prompt_simple.txt,0.6256755777314142,0.540642764333473,0.4354541057238282,4.748527628130052,0.7520151734352112,0.6823378205299377,0.7154841423034668,0
chatgpt,haitian_creole,boil_water_notice,translate_boil_water_notice.txt,0.9083955892691028,0.8455134263893893,0.7781022683798213,50.39583193626257,0.9073603749275208,0.904159426689148,0.9057570695877075,0
chatgpt,haitian_creole,911_outage,prompt_simple.txt,0.7260149144560165,0.5746641890047546,0.45493209865419304,3.714045690335597,0.7392146587371826,0.6620128154754639,0.6984869837760925,0
chatgpt,haitian_creole,911_outage,translate_911_outage.txt,0.9118212067112862,0.8511842633998196,0.882731775010426,60.890844796080344,0.931169867515564,0.9018855094909668,0.916293740272522,0
chatgpt,vietnamese,flood,prompt_simple.txt,0.7488261958615101,0.5476911844803368,0.46835876316907965,4.31634915916891,0.6843279600143433,0.6371558904647827,0.6599000096321106,0
chatgpt,vietnamese,flood,translate_flood.txt,0.9428279809724532,0.881703214848832,0.8690451227772018,66.94205117285885,0.9464706778526306,0.9511303901672363,0.9487947821617126,0
chatgpt,vietnamese,extreme_wind,prompt_simple.txt,0.7396634046445325,0.5586539302763123,0.46647592834180085,2.4046006759587835,0.7307015657424927,0.6864003539085388,0.7078585624694824,0
chatgpt,vietnamese,extreme_wind,translate_extreme_wind.txt,0.8960974080593583,0.8057962759207467,0.7396421430616671,36.529024814867284,0.8249974250793457,0.8347584009170532,0.8298492431640625,0
chatgpt,vietnamese,fire,prompt_simple.txt,0.43723465797252226,0.34090594877876645,0.32191541839902876,0.286519559537443,0.6881241202354431,0.6262792944908142,0.6557467579841614,0
chatgpt,vietnamese,fire,translate_fire.txt,0.9121567441639847,0.8433975899462954,0.7898983407379292,46.3755273958809,0.8940157890319824,0.9086838960647583,0.9012901782989502,0
chatgpt,vietnamese,boil_water_notice,prompt_simple.txt,0.6693161156030898,0.5479077786831704,0.4459823707600147,5.513394217897591,0.7546162605285645,0.6967959403991699,0.7245543599128723,0
chatgpt,vietnamese,boil_water_notice,translate_boil_water_notice.txt,0.8649868776076399,0.8292862019745952,0.7759203198480342,46.07888095146002,0.8767198920249939,0.8995280265808105,0.8879774808883667,0
chatgpt,vietnamese,911_outage,prompt_simple.txt,0.7427235627140769,0.6007704066505128,0.4518080589432956,5.724787988968062,0.7487943172454834,0.659637451171875,0.7013939619064331,0
chatgpt,vietnamese,911_outage,translate_911_outage.txt,0.916066119872178,0.8810356835044981,0.8015733005430146,58.25599342566058,0.9369468688964844,0.936964213848114,0.9369555115699768,0
chatgpt,arabic,flood,prompt_simple.txt,0.8134504747367792,0.6004613876667804,0.4801023064144805,2.3925795243134087,0.9158809185028076,0.8045465350151062,0.8566112518310547,0
chatgpt,arabic,flood,translate_flood.txt,0.9178254164606209,0.8136613710419631,0.8063132294750271,54.83590775091894,0.9809175729751587,0.95871901512146,0.969691276550293,0
